SL_NO,gRNA_name,AA_0_ABS_GT,AA_50_ABS_GT,AA_75_ABS_GT,AA_100_ABS_GT,AA_150_ABS_GT
2401,ABF1-NRg-8,1.851,2.7151,2.913,3.2823,5.6675
2402,ABF1-NRg-8,1.9079,2.9838,3.1255,3.4907,6.3189
2449,ABF1-NRg-8,1.8454,3.0572,3.2323,3.4742,6.3537
2505,ABF1-TRg-3,1.8036,2.7241,2.9651,3.3831,5.2429
2506,ABF1-TRg-3,1.8308,2.7198,3.0349,3.4249,4.9738
2553,ABF1-TRg-3,1.8107,3.0552,3.2363,3.6029,5.3995
2633,ABF2-NRg-1,1.8973,2.6867,3.2216,3.3316,5.501
2634,ABF2-NRg-1,1.8872,2.8606,3.2185,3.5807,5.6488
2681,ABF2-NRg-1,1.8909,2.9296,3.4296,3.8669,5.9414
697,ACP1-NRg-1,2.0844,2.6301,3.7075,3.295,5.3739
698,ACP1-NRg-1,2.0722,2.5913,3.5431,3.1461,5.077
745,ACP1-NRg-1,2.1469,2.6248,3.6789,3.051,5.043
519,ACP1-NRg-2,1.9993,2.962,3.3889,3.2402,5.3785
520,ACP1-NRg-2,2.0365,3.0139,3.5068,3.2201,5.253
567,ACP1-NRg-2,1.9694,2.8184,3.3277,3.1053,5.8891
1065,ACP1-TRg-6,1.9043,2.6925,3.4263,2.9588,5.2188
1066,ACP1-TRg-6,1.9233,2.5025,3.4852,2.9363,5.0828
1113,ACP1-TRg-6,1.9157,2.5796,3.5044,2.9918,5.3468
427,ACP1-TRg-7,2.0092,2.7986,3.3384,3.2615,6.3693
428,ACP1-TRg-7,2.0694,2.67,3.1718,3.2506,6.9935
475,ACP1-TRg-7,1.9904,2.8511,3.4116,3.3511,5.9715
521,ACT1-NRg-10,1.9588,3.1184,3.4386,3.2766,5.7572
522,ACT1-NRg-10,2.0309,3.1193,3.4238,3.1818,5.8081
569,ACT1-NRg-10,1.9838,3.0079,3.3673,3.1837,5.5089
581,ALG1-TRg-7,1.9445,2.8107,3.5262,3.1254,5.873
582,ALG1-TRg-7,1.9395,2.7356,3.3873,3.178,8.0415
629,ALG1-TRg-7,1.8785,2.7809,3.4467,3.1677,5.6892
125,ALR1-NRg-1,2.4111,3.2341,3.9021,3.5533,6.8134
126,ALR1-NRg-1,2.2529,3.1546,3.9134,3.5221,7.2582
173,ALR1-NRg-1,2.3751,2.9102,4.0674,3.2982,6.4344
887,ALR1-NRg-4,2.0557,2.3359,3.2114,3.2462,9.359
888,ALR1-NRg-4,2.0416,2.5747,3.2485,3.2407,7.4426
935,ALR1-NRg-4,2.0435,2.4099,3.2314,3.2168,6.705
2705,AME1-NRg-6,2.0109,2.6668,3.0839,3.7452,7.4565
2706,AME1-NRg-6,2.0398,2.6707,3.1828,3.7132,6.8925
2753,AME1-NRg-6,1.9543,2.7745,3.2807,3.8428,7.3172
2821,AME1-TRg-11,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
2822,AME1-TRg-11,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
2869,AME1-TRg-11,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
395,APC11-NRg-2,1.9714,2.8058,3.3558,3.4076,5.5934
396,APC11-NRg-2,1.9529,2.6251,3.3486,3.3965,5.282
443,APC11-NRg-2,1.9715,2.5728,3.3174,3.3985,5.5366
1253,APC11-NRg-3,1.8666,2.6622,3.2922,3.008,5.412
1254,APC11-NRg-3,1.8664,2.6004,3.2338,3.1552,5.7546
1301,APC11-NRg-3,1.8686,2.5018,3.1838,3.257,5.9765
2541,APC5-TRg-4,1.9667,2.8002,3.2236,3.3823,5.6193
2542,APC5-TRg-4,1.857,2.8234,3.3055,3.3132,6.1539
2589,APC5-TRg-4,2.033,2.9515,3.4486,3.483,6.2034
2239,ARC19-NRg-1,1.991,2.5351,2.9875,3.4641,4.6408
2240,ARC19-NRg-1,1.9623,2.5491,3.0417,3.476,4.5698
2287,ARC19-NRg-1,2.0034,2.5674,3.1063,3.4208,4.731
2523,ARC19-NRg-6,2.0003,2.5242,3.3104,3.8229,NoGrowth
2524,ARC19-NRg-6,1.929,2.5361,3.3581,3.8706,NoGrowth
2571,ARC19-NRg-6,1.958,2.6165,3.4026,3.7761,NoGrowth
2421,ARC19-TRg-1,1.9847,2.4685,3.0259,3.4501,6.5808
2422,ARC19-TRg-1,1.9638,2.4972,3.129,3.4715,6.5857
2469,ARC19-TRg-1,1.9602,2.4764,3.0109,3.4541,7.1656
2351,ARP3-NRg-4,1.9187,2.7105,2.9978,3.3756,5.409
2352,ARP3-NRg-4,1.955,2.6557,2.9423,3.4232,5.5576
2399,ARP3-NRg-4,1.9162,2.9277,3.0043,3.4387,6.0407
2815,ARP3-NRg-8,2.0214,2.8252,3.0576,3.5174,6.2388
2816,ARP3-NRg-8,1.9631,2.8419,2.9731,3.7334,6.0491
2863,ARP3-NRg-8,2.1011,2.6017,3.1513,3.6546,6.3738
1855,ARP3-TRg-1,1.9728,2.815,3.0971,3.2092,4.9258
1856,ARP3-TRg-1,1.9474,2.8254,3.2449,3.3266,4.9937
1903,ARP3-TRg-1,1.9544,2.6158,3.1065,3.4901,5.6559
1925,ARP3-TRg-3,1.8778,2.8431,3.1681,3.4225,6.2839
1926,ARP3-TRg-3,1.8868,2.867,3.3835,3.435,5.7659
1973,ARP3-TRg-3,1.8722,2.9642,2.9477,3.3838,6.4758
1473,ARP3-TRg-7,1.9801,2.8924,3.5152,3.1495,6.0581
1474,ARP3-TRg-7,1.9926,2.9027,3.5032,3.194,6.8342
1521,ARP3-TRg-7,1.9869,2.6305,3.0675,3.2388,6.5342
593,ARP9-TRg-2,2.0119,2.6796,3.3156,3.2079,5.3909
594,ARP9-TRg-2,1.9971,2.5001,3.2807,3.205,5.3292
641,ARP9-TRg-2,1.9564,2.4911,3.279,2.9548,4.9129
909,ARP9-TRg-3,2.0402,2.991,3.6508,3.2578,6.0469
910,ARP9-TRg-3,2.0622,3.0827,3.6682,3.2409,5.9269
957,ARP9-TRg-3,2.0497,3.0048,3.5853,3.2136,5.5064
1761,ATM1-NRg-5,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1762,ATM1-NRg-5,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
1809,ATM1-NRg-5,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
591,AVO1-NRg-4,2.0103,2.7608,3.2765,3.2684,5.3826
592,AVO1-NRg-4,2.0302,2.5797,3.1735,3.2495,4.9849
639,AVO1-NRg-4,1.9996,2.5659,3.2245,2.9614,5.0894
493,AVO1-TRg-2,1.9971,2.8702,3.5464,3.3629,6.292
494,AVO1-TRg-2,1.9872,2.6055,3.5035,3.325,6.2898
541,AVO1-TRg-2,1.9723,2.7292,3.4943,3.3391,5.9102
217,BCP1-NRg-2,2.2409,2.6494,3.2546,3.2485,5.9293
218,BCP1-NRg-2,2.1756,2.7193,3.8561,3.2363,5.4165
265,BCP1-NRg-2,2.1392,2.7587,4.0449,3.2171,4.9808
703,BCP1-TRg-4,2.1509,2.6924,3.5689,3.076,5.1498
704,BCP1-TRg-4,2.1335,2.5816,3.4561,3.0177,4.8387
751,BCP1-TRg-4,2.0895,2.684,3.6915,3.2731,4.737
2713,BET3-NRg-4,2.0796,2.5985,2.9703,3.7103,5.5734
2714,BET3-NRg-4,2.0906,2.7275,3.1562,3.7168,5.122
2761,BET3-NRg-4,2.0579,2.6915,3.1057,3.9728,5.621
1953,BET3-NRg-5,1.923,2.4726,3.0193,3.3798,4.9525
1954,BET3-NRg-5,1.8969,2.5587,3.0146,3.3569,4.9912
2001,BET3-NRg-5,1.9233,2.5879,3.0745,3.4027,4.8769
2027,BET3-NRg-7,1.9643,2.7503,2.9835,3.4031,5.8952
2028,BET3-NRg-7,2.0017,2.9772,3.0937,3.4313,5.5347
2075,BET3-NRg-7,1.9781,2.9835,3.066,3.4942,6.0268
