Well_No,gRNA_name,Atc_concentration,Lag_R1,GT_R1,Yield_R1,Lag_R2,GT_R2,Yield_R2
9,ACT1-NRg-5,0,5.946060742,1.962100783,2.977074325,5.534568046,1.997241462,2.873243421
19,ACT1-NRg-5,0.25,5.810761475,2.029657684,3.165458471,5.693866486,2.018391394,3.017021805
29,ACT1-NRg-5,1,5.887492518,2.163277401,2.767793231,5.485317929,2.171613736,2.961970605
39,ACT1-NRg-5,2,2.874183573,3.900344359,1.422003165,3.619035886,4.587937009,1.214270227
49,ACT1-NRg-5,3,3.947274821,5.058962055,1.025433615,3.965071723,4.879507299,1.046892338
59,ACT1-NRg-5,5,3.192291421,4.928053857,1.0874466,3.93935341,5.022901625,1.064231053
69,ACT1-NRg-5,7.5,4.072604081,4.899961698,1.074073717,4.089839172,5.268573518,1.038134575
79,ACT1-NRg-5,10,3.311143878,4.677723578,1.280635446,3.942027321,5.590798041,1.020694688
89,ACT1-NRg-5,15,3.819874423,6.03070087,1.406796798,4.103829475,7.119117958,1.20641607
99,ACT1-NRg-5,25,NaN,NaN,NaN,NaN,NaN,NaN
8,ACT1-NRg-8,0,7.405374435,1.945089294,3.10488829,5.864885608,2.009738853,2.939022496
18,ACT1-NRg-8,0.25,5.563682492,2.235983958,3.023580953,5.995602844,2.031226234,3.042801589
28,ACT1-NRg-8,1,6.345268232,2.549008719,2.79246062,5.522719608,2.554358583,2.943854049
38,ACT1-NRg-8,2,2.417148596,4.748995453,0.616358474,2.931196661,7.009736606,0.419298977
48,ACT1-NRg-8,3,2.813347748,9.252135084,0.302554995,3.244675505,9.018800947,0.340271927
58,ACT1-NRg-8,5,2.821376274,6.136289584,0.3840353,2.872582269,7.649143972,0.439881235
68,ACT1-NRg-8,7.5,3.268631383,8.008217344,0.410421565,3.27246372,9.034571502,0.32271418
78,ACT1-NRg-8,10,2.839117566,6.123375422,0.3835985,3.129656776,10.04500777,0.3553795
88,ACT1-NRg-8,15,NaN,NaN,NaN,31.0736965,6.393999059,0.4102908
98,ACT1-NRg-8,25,NaN,NaN,NaN,NaN,NaN,NaN
7,Ctrl-CC11,0,5.947077352,1.967907302,2.777708136,5.544252336,1.946725244,2.904937208
17,Ctrl-CC11,0.25,5.147620686,2.05359588,3.249382623,5.722512352,1.975666525,3.031608336
27,Ctrl-CC11,1,5.608022847,2.031309813,3.145988718,5.740799437,1.976717526,3.013997383
37,Ctrl-CC11,2,4.530403619,2.289395383,3.100755855,5.412599687,2.103713343,3.101515763
47,Ctrl-CC11,3,5.822114124,2.244849187,3.050947279,5.922759994,2.071311632,2.956014663
57,Ctrl-CC11,5,5.296432926,2.456386799,3.129142433,5.576883016,2.239689982,3.054935426
67,Ctrl-CC11,7.5,5.642574836,2.431260707,3.093866423,5.892412159,2.237152149,3.203472421
77,Ctrl-CC11,10,5.474375835,2.81708,3.151336819,6.136204885,2.525784973,3.210124508
87,Ctrl-CC11,15,5.877926226,3.235882301,3.066365287,6.42179694,3.043108409,2.863628611
97,Ctrl-CC11,25,6.171103187,4.955772719,1.898751,14.99250075,7.318365971,1.7609056
6,Ctrl-CC23,0,6.610721323,1.908535529,3.08053387,5.714421954,1.944561077,2.844554573
16,Ctrl-CC23,0.25,5.252236065,2.093683479,3.119248331,5.721998591,1.972226639,2.966796502
26,Ctrl-CC23,1,5.598611628,2.039212216,2.943803042,5.940676178,1.96613134,2.977138296
36,Ctrl-CC23,2,4.873571312,2.321718985,3.115590319,5.652555321,2.109011541,3.049854465
46,Ctrl-CC23,3,6.093629628,2.190843871,2.989861146,6.103253726,2.058395163,2.906188585
56,Ctrl-CC23,5,6.068164014,2.411393251,3.070109725,5.846135698,2.229753818,3.000065625
66,Ctrl-CC23,7.5,6.013590351,2.392383272,3.062285319,6.210844093,2.244052083,3.208240539
76,Ctrl-CC23,10,5.484529344,2.757496671,3.336245328,6.257775399,2.560494337,3.255828083
86,Ctrl-CC23,15,6.441562727,3.240895505,3.086077645,6.791691206,3.008852183,2.981138512
96,Ctrl-CC23,25,14.16192324,6.667126002,1.687024,18.24627488,6.969644851,1.4485738
2,IRA2-NRg-12,0,5.846940388,1.976783161,2.943249002,6.082579562,1.94748555,2.738144122
12,IRA2-NRg-12,0.25,7.564630177,1.94260019,3.227762699,6.402218779,1.942465121,3.03115578
