Plate;Row;Column;Phenotypes.InitialValue;Phenotypes.ExperimentBaseLine;Phenotypes.ExperimentEndAverage;Phenotypes.ColonySize48h;Phenotypes.ChapmanRichardsParam2;Phenotypes.ChapmanRichardsParam3;Phenotypes.ChapmanRichardsParamXtra;Phenotypes.ChapmanRichardsParam1;Phenotypes.ChapmanRichardsParam4;Phenotypes.GenerationTimeStErrOfEstimate;Phenotypes.ExperimentGrowthYield;Phenotypes.GenerationTime;Phenotypes.ExperimentPopulationDoublings;Phenotypes.ChapmanRichardsFit;Phenotypes.GenerationTimeWhen
1;0;0;52343.73279;52495.08199;5868414.975;4254207.214;36.65566777;-2.67726962;15.23562847;1.971875357;-1.443048987;0.001191143;5815919.893;2.471497173;6.804644812;0.995314961;5.733619806
1;0;1;36550.84594;36694.053;4844234.72;3634868.734;34.62924424;-2.578843959;14.77558192;1.993727383;-1.027064675;0.001291656;4807540.667;2.511411212;7.044578696;0.996143006;5.064323889
1;0;2;55660.17277;55774.47863;4405128.619;3500336.284;28.62167812;-2.519958194;15.39519137;1.885114025;-1.012980807;0.000857253;4349354.14;2.634355839;6.30343521;0.995686922;6.743513639
1;0;3;39315.11067;39442.7374;3737280.891;3004085.142;23.70088623;-2.440362052;14.92180357;1.917337981;-0.746623481;0.000536857;3697838.154;2.611743488;6.566085509;0.996199477;7.082520528
1;0;4;62725.15665;62835.85741;3810700.642;3154150.807;43.80095084;-2.434503334;15.61556853;1.816736408;-0.844593945;0.001217948;3747864.785;2.735229712;5.922324397;0.996051213;7.082520528
1;0;5;45390.61045;45456.10491;3414645.326;2846762.077;23.78218157;-2.383852379;15.17422328;1.860264434;-0.65176689;0.000754644;3369189.221;2.637258444;6.231117859;0.996650935;7.082520528
1;0;6;73182.34553;73403.11111;2961848.41;2507128.37;31.47520264;-2.501784669;15.89349943;1.713222701;-1.031019461;3.76E-05;2888445.299;3.23320184;5.334512783;0.997221777;5.397095083
1;0;7;58209.21132;58364.1938;2695367.639;2294463.336;23.50690641;-2.493383407;15.57610144;1.74682685;-1.023611676;0.000719584;2637003.445;3.175965206;5.529254702;0.99792358;5.064323889
1;0;8;83001.8889;83277.56023;3407639.891;2962743.772;25.60717076;-2.376336061;16.09728267;1.70935892;-0.707579363;0.001141368;3324362.331;2.964168938;5.354701271;0.996777211;6.743513639
1;0;9;57699.1591;57857.04994;3181229.4;2768141.237;40.24231402;-2.32862457;15.54564321;1.786335677;-0.661241175;0.000811102;3123372.35;2.711263153;5.780947835;0.996671224;7.082520528
1;0;10;61470.98659;61662.67976;3234005.282;2835374.118;30.80930991;-2.30985381;15.64597589;1.773922366;-0.608382208;0.000592313;3172342.602;2.70503817;5.712780637;0.996933874;6.743513639
1;0;11;53720.72346;53889.5546;3030061.149;2647388.416;23.55009208;-2.288762849;15.46266294;1.788041093;-0.431012319;0.000368823;2976171.595;2.69782976;5.813197436;0.996984446;6.743513639
1;0;12;77000.98113;77399.20049;2805314.396;2446649.568;20.15283835;-2.407066805;15.9508345;1.686371556;-0.980756466;0.000518501;2727915.196;2.906518318;5.179699991;0.996228325;5.733619806
1;0;13;67721.68932;68176.37328;2699196.046;2361516.123;32.91287075;-2.42511054;15.76284734;1.712300374;-1.088661941;0.000219233;2631019.673;2.856695809;5.3071141;0.996681694;4.727598056
1;0;14;57019.24647;57347.34818;3177506.565;2803007.345;24.76070938;-2.285412215;15.53677109;1.787072042;-0.652350074;0.000750499;3120159.217;2.573634368;5.79202452;0.996554042;4.727598056
1;0;15;52219.90143;52364.64805;2966541.412;2611722.81;25.0960105;-2.261079855;15.41931311;1.789557923;-0.399933893;0.00075126;2914176.764;2.610589706;5.824044951;0.996450702;7.082520528
1;0;16;54003.67647;54112.63101;2993524.049;2644407.326;25.87268488;-2.242447778;15.47036791;1.782960059;-0.319843993;0.000738618;2939411.418;2.596389151;5.789735662;0.996431271;7.082520528
1;0;17;57731.85237;58032.59379;3134710.169;2767020.402;23.64483815;-2.25784933;15.57804301;1.776427908;-0.44796336;0.000923673;3076677.575;2.583494493;5.755324837;0.996301595;6.743513639
1;0;18;57716.5016;58094.6213;2329734.633;2073208.732;41.89725389;-2.252638118;15.56795598;1.703744942;-0.550871461;0.000889872;2271640.011;2.626155597;5.325617227;0.995235426;6.403922333
1;0;19;59148.90956;59445.98089;2365685.272;2106652.871;22.85305728;-2.248705444;15.59517448;1.701974592;-0.547696778;0.00078774;2306239.291;2.611218018;5.314535069;0.994895818;6.403922333
1;0;20;56166.40829;56556.03139;3061110.187;2707018.338;24.46356286;-2.235964177;15.55888879;1.773875915;-0.353393253;0.00082195;3004554.156;2.557332352;5.758230279;0.996264707;6.743513639
1;0;21;57851.50679;58291.43653;3089573.841;2735922.657;23.81443769;-2.231162703;15.60786193;1.767428205;-0.365670917;0.000952947;3031282.404;2.577769316;5.727980088;0.996313174;6.743513639
1;0;22;67579.54241;67966.92737;3181084.911;2816797.186;19.51704519;-2.245227598;15.81697088;1.738657592;-0.405680369;0.000622741;3113117.983;2.638886656;5.548542168;0.99605775;6.743513639
1;0;23;56733.12652;57057.11793;3118054.833;2749763.113;23.8803701;-2.240788696;15.56822947;1.776521104;-0.393041853;0.000408629;3060997.715;2.566854759;5.772095613;0.996382153;6.743513639
1;0;24;59090.81826;59163.45731;2555693.347;2215024.16;25.73573187;-2.228153827;15.69388108;1.704099976;0.30993552;0.001715016;2496529.89;3.035740196;5.432864569;0.996983273;9.779319333
1;0;25;52775.74613;52835.73182;2518793.16;2173777.59;31.45002346;-2.226833264;15.54916963;1.725182625;0.29438616;0.001225291;2465957.428;2.932776444;5.575074917;0.996998854;9.439138361
1;0;26;59277.63434;59456.51641;2942884.411;2599496.503;24.69061261;-2.215335661;15.62689977;1.751345891;-0.291432714;0.000600989;2883427.895;2.586668994;5.62925213;0.996087967;6.743513639
1;0;27;57967.21697;58160.7;2954906.926;2608221.802;22.60882036;-2.20115147;15.58720995;1.75809377;-0.285338173;0.000450714;2896746.226;2.546441312;5.666924246;0.995840754;6.743513639
1;0;28;61041.37459;61201.44032;3050169.635;2707638.247;31.10066959;-2.210671282;15.67423144;1.752914099;-0.280113099;0.000584551;2988968.194;2.595614543;5.639180064;0.996458198;6.743513639
1;0;29;56494.74196;56789.28672;3003522.192;2662511.671;24.65446249;-2.205299394;15.56836864;1.767109205;-0.290764252;0.000510409;2946732.905;2.555003641;5.724892722;0.996423324;6.743513639
1;0;30;61331.60184;61735.02857;2958857.439;2643662.422;25.95861665;-2.195222703;15.70726498;1.73972606;-0.274897587;0.000886744;2897122.41;2.627901068;5.582807068;0.996625118;6.403922333
1;0;31;54555.90099;54826.07207;2903515.236;2589255.654;23.66896513;-2.183137923;15.53852909;1.763811525;-0.213054669;0.000484111;2848689.164;2.584546483;5.726794677;0.996728122;6.743513639
