Plate;Row;Column;Phenotypes.InitialValue;Phenotypes.ExperimentBaseLine;Phenotypes.ExperimentEndAverage;Phenotypes.ColonySize48h;Phenotypes.ChapmanRichardsParam2;Phenotypes.ChapmanRichardsParam3;Phenotypes.ChapmanRichardsParamXtra;Phenotypes.ChapmanRichardsParam1;Phenotypes.ChapmanRichardsParam4;Phenotypes.GenerationTimeStErrOfEstimate;Phenotypes.ExperimentGrowthYield;Phenotypes.GenerationTime;Phenotypes.ExperimentPopulationDoublings;Phenotypes.ChapmanRichardsFit;Phenotypes.GenerationTimeWhen
2;0;0;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
2;0;1;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
2;0;2;115284.0048;116635.7448;16120524.25;13631161.55;39.88460624;-2.383399588;16.51433731;1.994597979;-0.922943484;0.016335645;16003888.51;1.914743745;7.11074486;0.995903335;6.341825472
2;0;3;64500.11045;66330.06253;11143298.04;10001490.74;28.19562511;-2.422919706;15.12188012;2.114503338;-61.96972858;0.01539819;11076967.98;1.740636706;7.392297684;0.993485212;6.341825472
2;0;4;86984.70913;89206.53111;11161476.44;10023831.52;25.67930165;-2.39659844;15.59812344;2.054960474;-57.9096408;0.012509678;11072269.91;1.867898469;6.967162826;0.993486192;6.341825472
2;0;5;89540.11346;92186.44666;10400434.09;9573277.967;23.40729237;-2.148799834;16.28591955;1.940533148;-0.672003335;0.011573738;10308247.64;1.879520102;6.817873369;0.997570056;6.341825472
2;0;6;92985.30152;95207.61003;9813189.363;9114614.095;25.29805948;-2.360040822;15.63987581;2.028716486;-58.12310601;0.012984923;9717981.753;1.859162771;6.687501395;0.992240689;6.341825472
2;0;7;90748.69382;93583.74341;9955058.573;9239255.276;22.77695256;-2.102223746;16.33301021;1.925141783;-0.569858224;0.011089458;9861474.83;1.886947995;6.733028056;0.998050861;6.341825472
2;0;8;89827.3132;92154.1623;9330898.22;8747134.199;24.69675592;-2.338395031;15.57550873;2.028515841;-54.52126082;0.01267062;9238744.058;1.861821696;6.661822827;0.991857391;6.341825472
2;0;9;91529.52114;94182.41869;9254532.577;8686749.878;22.18979027;-2.071638094;16.35477422;1.906972433;-0.476534039;0.011274197;9160350.158;1.884015429;6.618558542;0.99820973;6.341825472
2;0;10;102830.2279;105904.5628;9440988.037;8823980.678;24.11072005;-2.082038356;16.52575147;1.885941842;-0.520082969;0.008254225;9335083.474;1.953103059;6.478101198;0.998225821;5.008408806
2;0;11;88840.26266;91363.57532;9154289.334;8652357.84;23.78910462;-2.051184431;16.3158479;1.911636772;-0.39181248;0.01242484;9062925.759;1.860467117;6.646684972;0.998093505;6.341825472
2;0;12;93802.28958;96506.42607;9014495.296;8441723.271;22.85158251;-2.055677965;16.39594461;1.895215757;-0.401999666;0.011598911;8917988.87;1.885662877;6.5454779;0.998176373;6.341825472
2;0;13;91736.29787;94377.77276;9056583.79;8495082.321;34.7491135;-2.067545213;16.35739826;1.902372515;-0.502976718;0.011384299;8962206.017;1.895166225;6.584376022;0.998208468;6.341825472
2;0;14;94440.20454;96978.42886;8842752.349;8296865.024;23.9205129;-2.33081715;15.66424505;2.005914424;-54.71108174;0.013302826;8745773.92;1.877752818;6.510687794;0.991757298;6.341825472
2;0;15;99253.05762;102036.009;9114267.539;8517745.123;24.96731241;-2.066608507;16.47454133;1.885842357;-0.461644438;0.011329385;9012231.53;1.9089481;6.480976439;0.998179067;6.341825472
2;0;16;99500.10942;102169.5313;9119322.468;8547604.865;23.08632494;-2.060827327;16.47725643;1.88575475;-0.410590123;0.011806875;9017152.936;1.911000913;6.479889712;0.998025711;6.341825472
2;0;17;112551.9424;115202.0732;8868829.381;8277163.922;23.25701309;-2.346202808;15.93982217;1.968700673;-53.16325483;0.01176533;8753627.308;1.967062781;6.266505107;0.991692834;6.341825472
2;0;18;99222.58267;101587.7888;8884278.303;8263596.184;23.60637893;-2.330578581;15.74846866;1.994642119;-52.78957348;0.012533647;8782690.514;1.883859327;6.450455685;0.991924338;6.341825472
2;0;19;89622.53362;91892.80113;8639836.854;8113157.708;24.13326863;-2.326862418;15.58607009;2.012346614;-53.38263184;0.012951033;8547944.053;1.853388321;6.554908415;0.991793154;6.341825472
2;0;20;100790.119;103168.415;8942398.256;8313047.036;23.09743998;-2.325994309;15.78020181;1.991377417;-22.43423517;0.011979756;8839229.841;1.899448401;6.437588536;0.992098543;6.341825472
2;0;21;91351.26003;94141.32614;8854176.886;8221388.52;21.73871867;-2.077749609;16.35621485;1.896877839;-0.486299029;0.0117989;8760035.56;1.910200141;6.555386209;0.998178077;6.341825472
