Plate;Row;Column;Phenotypes.InitialValue;Phenotypes.ExperimentBaseLine;Phenotypes.ExperimentEndAverage;Phenotypes.ColonySize48h;Phenotypes.ChapmanRichardsParam2;Phenotypes.ChapmanRichardsParam3;Phenotypes.ChapmanRichardsParamXtra;Phenotypes.ChapmanRichardsParam1;Phenotypes.ChapmanRichardsParam4;Phenotypes.GenerationTimeStErrOfEstimate;Phenotypes.ExperimentGrowthYield;Phenotypes.GenerationTime;Phenotypes.ExperimentPopulationDoublings;Phenotypes.ChapmanRichardsFit;Phenotypes.GenerationTimeWhen
3;0;0;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth;NoGrowth
3;0;1;82775.13194;82865.65549;14850581.77;13038450.19;30.76684144;-2.232503212;15.99700778;2.045054663;-0.70449823;0.003480457;14767716.11;1.741154179;7.485529448;0.997317099;5.67479625
3;0;2;84108.93294;84073.89685;13309897.83;11815988.5;24.57807101;-2.176247888;16.04621198;2.017160709;-0.521056884;0.003368164;13225823.94;1.744609911;7.306625838;0.997465111;5.67479625
3;0;3;86371.60662;85209.27513;12183342.35;10946956.67;29.44796809;-2.129613943;16.03207716;2.002328006;-0.40128249;0.003841529;12098133.07;1.768726409;7.15968378;0.997355253;5.67479625
3;0;4;94450.70398;94431.22912;11715751.33;10572502.78;31.9617862;-2.088407114;16.22219934;1.968277971;-0.254583982;0.002700311;11621320.1;1.739823741;6.954969713;0.997339003;5.67479625
3;0;5;108692.5385;109009.8806;11504030.56;10469945;24.09015503;-2.083247971;16.47005344;1.929973554;-0.24915534;0.00522089;11395020.68;1.812520814;6.721536697;0.997655535;5.341452778
3;0;6;124391.0136;125149.0922;11418420.12;10447604.31;41.99306177;-2.079229724;16.70375876;1.894961978;-0.252937279;0.004501639;11293271.03;1.949299008;6.511571414;0.997950029;5.67479625
3;0;7;110937.3653;111544.7762;11038756.16;10021172.71;42.55096454;-2.066490703;16.53827591;1.910888598;-0.2015287;0.004037907;10927211.39;1.884340404;6.628810858;0.997909741;5.67479625
3;0;8;111181.9388;111705.8269;10954123.03;10090988.83;25.11792783;-2.057398134;16.53408176;1.911691615;-0.192570853;0.004658638;10842417.2;1.868866583;6.615625736;0.997962573;5.341452778
3;0;9;109174.1524;109779.5613;10879529.53;9964150.335;20.90726734;-2.062848588;16.51809029;1.912318248;-0.241247734;0.004416625;10769749.97;1.877721348;6.630862882;0.997982403;5.67479625
3;0;10;101688.0646;102138.6337;10738789.87;9839666.068;34.44225239;-2.058861586;16.40815069;1.925399423;-0.192132713;0.003846645;10636651.23;1.838884869;6.716158953;0.998022494;5.67479625
3;0;11;106553.4698;106940.7031;10728801.59;9825007.56;33.35148197;-2.057600485;16.46652084;1.917123048;-0.206735335;0.003636921;10621860.89;1.871756328;6.648534058;0.99802625;5.67479625
3;0;12;102712.9902;103457.4018;10821896.94;9866983.481;21.78154022;-2.06030594;16.4334293;1.923436249;-0.200078249;0.002797274;10718439.54;1.863234326;6.708772732;0.998158886;5.67479625
3;0;13;102346.307;103017.5271;10788140.37;9852881.767;20.9485968;-2.061119826;16.42360728;1.924134562;-0.196697893;0.00351094;10685122.85;1.85135877;6.710412574;0.998129134;5.67479625
