Plate;Row;Column;Phenotypes.InitialValue;Phenotypes.ExperimentBaseLine;Phenotypes.ExperimentEndAverage;Phenotypes.ColonySize48h;Phenotypes.ChapmanRichardsParam2;Phenotypes.ChapmanRichardsParam3;Phenotypes.ChapmanRichardsParamXtra;Phenotypes.ChapmanRichardsParam1;Phenotypes.ChapmanRichardsParam4;Phenotypes.GenerationTimeStErrOfEstimate;Phenotypes.ExperimentGrowthYield;Phenotypes.GenerationTime;Phenotypes.ExperimentPopulationDoublings;Phenotypes.ChapmanRichardsFit;Phenotypes.GenerationTimeWhen
0;0;0;166464.5726;169141.0047;7215605.843;5346904.659;10.31629603;-2.896131797;17.28771091;1.703250091;-53.76738318;0.001907556;7046464.838;3.1521377;5.414822174;0.998804081;3.201797444
0;0;1;206797.0217;210308.695;5590849.812;4451953.802;43.12621802;-2.832862994;17.54986983;1.579035836;-31.01727622;0.001643821;5380541.117;3.644311099;4.732487187;0.99946305;2.839830472
0;0;2;157480.7736;160301.1092;5001967.122;4035744.133;7.467877901;-2.742690643;17.16044437;1.621422149;-41.40528455;0.002252836;4841666.013;3.182367448;4.963639261;0.998629371;3.562506694
0;0;3;152662.296;155201.6059;4672482.448;3837472.718;7.060218649;-2.705545158;17.09698433;1.612961223;-39.60827614;0.001761776;4517280.842;3.043349496;4.911973854;0.998463777;3.201797444
0;0;4;147896.7793;150471.3901;4359645.28;3606643.294;7.197639845;-2.676749517;17.02300569;1.606669387;-40.14997291;0.001588579;4209173.89;3.131437058;4.856649645;0.998590359;3.201797444
0;0;5;158189.1537;160817.3505;4269418.954;3610268.005;6.44216565;-2.649133745;17.10931672;1.585075396;-37.6357648;0.001083691;4108601.604;3.116639259;4.730544768;0.998640821;3.562506694
0;0;6;153424.2594;156348.5271;4141420.634;3528214.143;34.05676195;-2.63536015;17.06407156;1.583814475;-27.60948772;0.001604317;3985072.107;3.090442236;4.727288208;0.998811727;3.201797444
0;0;7;170955.4974;173317.5355;4067216.593;3483981.508;44.26593544;-2.632399256;17.18044341;1.556009977;-91.91349771;0.001631426;3893899.057;3.306609557;4.552552288;0.998889334;3.201797444
0;0;8;153751.2169;156374.8752;3922685.828;3335582.982;33.94276829;-2.593653467;17.04413489;1.569039601;-29.37272306;0.001231581;3766310.952;3.086681841;4.648761155;0.998505315;3.201797444
0;0;9;156431.0714;159513.5271;3924582.436;3349086.883;37.96083418;-2.586882031;17.08480455;1.55982691;-81.03073053;0.002096827;3765068.909;3.124109417;4.620788486;0.998672404;3.201797444
0;0;10;156072.9653;158743.0739;4014391.898;3492612.596;42.80876095;-2.591587605;17.04288299;1.580916632;-74.1560244;0.001455832;3855648.824;3.091208105;4.660415912;0.999023241;3.201797444
0;0;11;141718.009;144358.4053;3951227.8;3442732.492;39.25484417;-2.584142104;16.90093118;1.604697876;-67.80241408;0.00164593;3806869.395;3.009490798;4.774574008;0.999053988;3.201797444
0;0;12;148845.8756;151958.2638;3994977.82;3454018.533;41.12696453;-2.598584288;16.990151;1.588473207;-70.94752301;0.001279911;3843019.556;3.13089858;4.716440454;0.999117786;3.201797444
0;0;13;148775.7811;151731.6896;4007509.884;3465917.703;40.48363469;-2.597957588;16.98408298;1.591912771;-67.36643439;0.001471949;3855778.194;3.204684269;4.723111745;0.999155347;3.201797444
0;0;14;137946.8168;140479.6963;3912894.707;3414106.921;37.85248951;-2.589620134;16.86026616;1.609818185;-61.90538084;0.001216454;3772415.011;3.104423591;4.799802753;0.999215322;3.562506694
0;0;15;136812.2202;139506.2039;3885104.107;3379507.62;36.09118301;-2.584452913;16.85101593;1.609309342;-58.47382477;0.00187093;3745597.903;3.080036647;4.799552072;0.999227041;3.201797444
0;0;16;144347.5865;146733.4503;3894153.15;3400566.847;38.58484028;-2.587652694;16.90958111;1.599453406;-46.45628698;0.001059435;3747419.699;3.090535817;4.730039924;0.99918308;3.562506694
0;0;17;133505.9216;136157.9782;3849288.48;3338267.498;37.7193807;-2.58426792;16.82048208;1.61153714;-63.34492443;0.001539472;3713130.502;3.046775804;4.821238371;0.999161466;3.201797444
0;0;18;137508.0839;140287.411;3841864.401;3322270.185;41.82412012;-2.589145266;16.85618642;1.605224983;-71.67334974;0.001630325;3701576.99;3.131159426;4.775349143;0.999134868;3.201797444
0;0;19;132805.9337;134982.6815;3878807.044;3360751.07;39.08973053;-2.578011241;16.77996203;1.621960764;-73.1972315;0.000846796;3743824.363;2.99365298;4.844766785;0.998971756;3.201797444
0;0;20;130901.245;133401.4213;3866974.51;3294991.169;36.83307832;-2.598283125;16.78875796;1.617688461;-22.90758376;0.001335845;3733573.089;3.045787332;4.857359312;0.998901093;3.201797444
0;0;21;131127.4599;133477.1144;3841675.894;3300856.158;40.49297496;-2.596774758;16.76828906;1.622397702;-73.09989912;0.001013591;3708198.779;3.074545099;4.847071502;0.998979032;3.562506694
0;0;22;128495.1835;130944.8251;3934396.827;3433017.67;36.94452739;-2.5816809;16.73951725;1.63491551;-51.7602882;0.002176654;3803452.002;3.010099564;4.909111525;0.999233585;3.201797444
0;0;23;125475.5075;127920.6986;3924717.686;3423099.956;35.93330203;-2.579953138;16.70759753;1.640856178;-38.26433498;0.001066483;3796796.987;3.035184312;4.939267253;0.999261739;3.201797444
0;0;24;138711.2824;141120.9382;3892009.636;3395566.165;46.65648718;-2.57529971;16.84731434;1.611025589;-3.742488864;0.001632988;3750888.698;3.111848347;4.785511319;0.999099016;3.92174025
0;0;25;132161.863;134571.2703;4014565.044;3507860.276;37.88506122;-2.579185902;16.77771734;1.632583643;-62.47982932;0.00100636;3879993.774;2.951232236;4.898801342;0.999165535;3.562506694
0;0;26;146992.0558;149525.66;4007320.633;3510102.936;44.37107479;-2.577417584;16.94154549;1.601187525;-3.503502209;0.001749575;3857794.973;3.174009064;4.744172956;0.999199099;3.92174025
0;0;27;123879.0873;126120.2063;3958674.013;3486607.972;36.50037012;-2.556605385;16.67082261;1.650830761;-62.35262576;0.00112635;3832553.807;2.882773243;4.972145929;0.999107558;3.92174025
0;0;28;127816.9561;130359.2315;4020031.444;3515802.865;36.57469452;-2.568122462;16.73049257;1.642232951;-60.21477586;0.001530791;3889672.212;2.958656605;4.946642128;0.999185599;3.562506694
0;0;29;127866.2578;130001.0125;3914468.204;3417932.112;39.54810371;-2.568467495;16.71859641;1.638474667;-5.17873721;0.001665814;3784467.191;3.020225572;4.912221561;0.999130201;3.92174025
0;0;30;161058.0441;163508.4167;4015326.485;3529255.207;46.548936;-2.566896056;17.0953664;1.569416776;-2.73999858;0.00165851;3851818.068;3.376387485;4.618080491;0.999295214;3.92174025
0;0;31;129515.6227;132128.8186;4277886.168;3645565.568;32.01016925;-2.584601232;16.76274853;1.650406213;-28.6216144;0.001759846;4145757.349;2.948288557;5.016881022;0.998805082;3.92174025
0;0;32;130712.1652;132986.7472;4093704.422;3595572.653;41.57901169;-2.555986693;16.73735639;1.647116934;-74.13879692;0.001446351;3960717.675;2.873064178;4.944052552;0.998964207;3.92174025
0;0;33;131357.3558;133805.7117;4184186.931;3672153.497;39.66652671;-2.557921891;16.76273409;1.646912902;-70.23605072;0.002420728;4050381.219;2.944494982;4.966735701;0.999039672;3.92174025
0;0;34;128330.7929;130885.87;4176855.685;3650602.835;36.92509693;-2.555550617;16.72786027;1.653747062;-69.62872331;0.001532419;4045969.815;2.962625253;4.996036035;0.999017242;3.92174025
0;0;35;129210.0833;131777.9903;4202860.028;3673573.159;34.49676426;-2.554135185;16.7479881;1.650975831;-67.71373427;0.001885575;4071082.037;2.920554138;4.995190074;0.998963544;3.92174025
0;0;36;130901.8499;133762.6765;4219954.762;3669769.03;34.99565843;-2.561387922;16.78038149;1.644449537;-69.56956331;0.001369463;4086192.085;2.935014661;4.979480008;0.998990019;3.201797444
0;0;37;132148.9549;134744.3551;4216424.586;3668326.969;35.02339007;-2.564912252;16.77762226;1.646620732;-24.58996481;0.001014148;4081680.231;2.961917921;4.967723411;0.998872762;3.201797444
0;0;38;136931.6636;139745.2415;4110687.863;3594488.478;6.433340685;-2.528206929;16.83749;1.626146651;-35.49489791;0.001756659;3970942.622;2.89163614;4.878508764;0.99858178;3.201797444
0;0;39;140142.4605;142951.0179;4159088.995;3607069.359;6.435069671;-2.535634183;16.88606077;1.618948923;-35.88447814;0.001943024;4016137.977;2.888012402;4.862674758;0.99853869;3.201797444
0;0;40;144289.1897;146946.168;4360365.474;3806072.144;35.54659381;-2.566011257;16.91202171;1.630722892;-22.95500817;0.001628292;4213419.306;2.902318295;4.891089421;0.998834974;3.201797444
0;0;41;150156.6721;152625.9113;4459267.379;3831493.857;31.48389438;-2.589361853;16.98937938;1.619108471;-30.60231471;0.001198522;4306641.468;2.921610508;4.868734892;0.998692269;3.562506694
0;0;42;149312.2375;152163.1571;4539542.415;3894683.405;23.63322386;-2.604998237;16.99603753;1.624682682;-32.08100444;0.001098903;4387379.258;2.952430655;4.898855891;0.998745335;3.201797444
0;0;43;142879.6793;145316.3754;4797669.088;4055893.153;6.836892741;-2.625227673;16.95168027;1.648346279;-37.34119434;0.001347887;4652352.713;2.795139468;5.045064462;0.998303278;3.201797444
0;0;44;153413.7219;155695.071;5081588.904;4232209.005;8.181093385;-2.670355509;17.03748785;1.647766133;-43.13858947;0.001334046;4925893.833;2.968521375;5.02848449;0.998555975;3.92174025
0;0;45;140983.5033;143810.4935;5788926.891;4723940.043;8.095988178;-2.682184108;16.95864145;1.698573716;-42.57739624;0.001388614;5645116.397;2.796423439;5.331055082;0.998377618;3.562506694
0;0;46;137745.1215;140384.8192;6472883.024;5120620.072;9.250957282;-2.733208076;16.92792896;1.732933314;-46.56756817;0.001704278;6332498.205;2.771016093;5.526949592;0.998416277;3.562506694
0;0;47;138251.5714;141101.0313;8708174.779;6323775.857;12.49073202;-2.854663172;17.00566892;1.794742238;-22.49127494;0.000647822;8567073.747;2.7573103;5.947569926;0.998325907;3.562506694
0;1;0;200431.2721;204088.254;6196713.595;4884179.174;6.642730472;-2.8190182;17.54428089;1.608833326;-41.23653422;0.001664831;5992625.341;3.35911937;4.924238232;0.999055265;2.492199889
0;1;1;151926.6759;154240.681;3931892.656;3316186.837;51.56570221;-2.666756345;16.99290532;1.583517014;-89.01812928;0.00239393;3777651.975;3.380168918;4.671968704;0.999117687;3.92174025
0;1;2;130033.9346;131880.1629;3488367.8;2979630.5;22.52913534;-2.592903825;16.77577077;1.591426765;-32.45924543;0.001794717;3356487.637;2.935674055;4.725252682;0.998523731;3.92174025
0;1;3;126496.8221;128252.6373;3181706.275;2757327.043;39.67154183;-2.554611082;16.68490323;1.581709977;-28.78965045;0.002544737;3053453.637;3.032740335;4.632740259;0.998528325;3.92174025
0;1;4;129433.0843;131868.1296;3074820.807;2681837.876;38.62714698;-2.511666503;16.7479984;1.557097388;-23.17564108;0.00124499;2942952.677;3.062961332;4.543334501;0.998494105;3.92174025
0;1;5;129188.4066;131553.8481;2887768.687;2535956.242;47.60784781;-2.473251596;16.7565518;1.53676782;-3.086732578;0.002672929;2756214.839;3.145269555;4.456229831;0.998419992;3.92174025
0;1;6;120957.4342;123412.265;2804158.415;2496290.995;42.6654558;-2.448138109;16.6625216;1.547421714;-3.481404688;0.001551114;2680746.15;3.014419472;4.506010168;0.998659876;3.92174025
0;1;7;133023.6286;135373.6021;2785479.554;2480130.943;52.57454754;-2.421024421;16.81703184;1.512654535;-2.429653634;0.002078;2650105.952;3.178914747;4.362907381;0.998569532;3.92174025
0;1;8;133560.088;135675.1386;2794540.193;2454567.338;43.39087293;-2.431229903;16.79573085;1.515545104;-3.210835215;0.001331075;2658865.054;3.047822215;4.364382637;0.998137376;3.562506694
0;1;9;149980.6954;152004.1167;2835855.445;2553287.833;49.07506469;-2.407841534;16.99962379;1.477014012;-2.241748664;0.001411686;2683851.328;3.26083966;4.221601693;0.998774797;3.92174025
0;1;10;126284.7224;128846.002;2757963.196;2475383.671;39.65983194;-2.424308983;16.74190881;1.526813816;-2.89533006;0.00183749;2629117.194;3.073316212;4.419883527;0.998774033;3.92174025
0;1;11;132398.7692;134753.868;2824562.405;2553712.012;42.36157946;-2.40730105;16.81283764;1.518854684;-2.462282378;0.001453666;2689808.537;3.065964217;4.389628786;0.998838838;3.92174025
0;1;12;129524.5485;131473.7718;2790790.389;2497071.453;44.99167246;-2.42553735;16.76307831;1.524764053;-2.694723031;0.001220179;2659316.617;3.034096026;4.407826845;0.998685052;3.201797444
0;1;13;130060.9244;131897.923;2788138.462;2506254.278;48.84838785;-2.397720437;16.77144774;1.523635772;-2.22404502;0.002438922;2656240.539;2.976284821;4.401808457;0.998617593;3.92174025
0;1;14;115209.718;116797.5913;2800750.251;2514479.495;41.52983127;-2.41308541;16.57162049;1.566267004;-2.865262256;0.002829889;2683952.66;2.884408074;4.583730913;0.998592944;3.92174025
0;1;15;113131.0333;114855.9824;2706318.874;2423904.99;49.65642339;-2.400406586;16.56679091;1.557379017;-2.226879664;0.002222722;2591462.891;2.968762649;4.558433928;0.998621862;3.92174025
0;1;16;114188.8915;116635.3902;2716126.964;2451570.189;37.73578979;-2.405773393;16.59439125;1.554395349;-2.75775483;0.002319223;2599491.574;2.977504224;4.541473408;0.998866295;3.92174025
0;1;17;116230.6173;118321.0051;2766925.567;2480638.451;42.84681739;-2.394471929;16.61553792;1.552257567;-2.470199847;0.002751778;2648604.562;2.966861633;4.547505717;0.998709773;3.92174025
0;1;18;122149.6994;124285.9486;2703350.019;2424038.95;48.48627588;-2.386284098;16.71133764;1.52630427;-2.087250963;0.001830362;2579064.07;3.147744701;4.443013215;0.998774222;3.92174025
0;1;19;121521.1541;123501.02;2737616.292;2453584.876;51.87334796;-2.375342859;16.68958756;1.533045438;-2.015511685;0.002726113;2614115.272;3.014912358;4.470325388;0.998596014;4.25455825
0;1;20;114211.7801;116149.073;2774602.097;2449958.499;38.27410045;-2.453136944;16.51026445;1.574914735;-22.756731;0.001642206;2658453.024;2.902734793;4.578231346;0.998314271;3.92174025
0;1;21;113528.5881;115353.9089;2793292.296;2503755.213;50.52074409;-2.386542229;16.56782225;1.566632399;-2.278784544;0.002948061;2677938.387;2.910836612;4.59782775;0.998492414;4.25455825
0;1;22;112938.7207;114571.7624;2869258.348;2564255.18;9.175970825;-2.419064437;16.45499827;1.597021082;-39.47683801;0.002881934;2754686.585;2.747940541;4.646354451;0.998048518;3.92174025
0;1;23;111665.337;113461.4496;2894149.271;2568305.568;7.948992883;-2.424883086;16.43736073;1.602593056;-39.75001363;0.002425595;2780687.821;2.910018388;4.672865227;0.998015117;3.92174025
0;1;24;126952.0832;129244.1049;2900450.938;2609019.229;48.14372635;-2.426170157;16.62146677;1.568052846;-23.9420777;0.002931542;2771206.834;2.993679904;4.488106834;0.998160676;4.587134472
0;1;25;109392.9028;111180.4811;2877995.93;2571008.287;8.60322676;-2.425301969;16.38013443;1.612813518;-42.44141467;0.00318802;2766815.449;2.800568691;4.694089117;0.998008388;4.25455825
0;1;26;114313.6916;116249.0964;2948011.95;2635311.888;7.869018165;-2.40702826;16.45886951;1.604949708;-39.59644323;0.003312766;2831762.853;2.767637108;4.664450965;0.997976615;3.92174025
0;1;27;114436.9539;116213.3884;2911612.221;2611755.821;8.306788107;-2.419063147;16.44266382;1.604939329;-41.42253672;0.002969746;2795398.833;2.758040458;4.646970035;0.997910379;4.25455825
0;1;28;116575.7589;118780.0667;2957326.539;2650947.921;33.10185853;-2.409381368;16.51039631;1.594651514;-33.59634952;0.00347688;2838546.473;2.806929972;4.637928897;0.99820159;3.92174025
0;1;29;111165.489;112716.772;2846059.867;2546591.714;9.07049165;-2.416555966;16.37538595;1.612589192;-43.97199274;0.002897282;2733343.095;2.77614428;4.658191903;0.997799717;4.587134472
0;1;30;113125.3205;114919.9978;2992335.429;2683620.108;7.583438375;-2.391924487;16.43648724;1.612396415;-38.88349918;0.003494646;2877415.431;2.680734074;4.702570129;0.997902393;3.92174025
0;1;31;107516.3042;109513.1034;2907355.82;2611647.502;26.95032238;-2.392341369;16.34699886;1.622982516;-38.46331687;0.002572973;2797842.716;2.801414527;4.730532242;0.998043823;4.25455825
0;1;32;112988.2851;115230.8241;2981123.592;2685282.777;40.47424863;-2.391120386;16.44262625;1.612212645;-24.57809238;0.002856896;2865892.768;2.756104538;4.693257596;0.998254487;3.92174025
0;1;33;112986.8119;114869.8268;2980250.326;2673421.246;26.94747847;-2.397860378;16.41410487;1.616261802;-40.4111147;0.003557498;2865380.499;2.735635992;4.697361719;0.997968732;4.25455825
