Plate;Row;Column;Phenotypes.ExperimentGrowthYield;Phenotypes.GenerationTime;Phenotypes.ExperimentPopulationDoublings;Phenotypes.ExperimentBaseLine;Phenotypes.ColonySize48h
1;0;0;0.9722278;0.00962046;0.147988039;0.389332977;0.804065177
1;0;1;0.581908484;-0.006915231;0.106875382;0.166493799;0.497256872
1;0;2;0.389981947;-0.036333087;0.094710323;0.023284708;0.33195223
1;0;3;0.614084318;0.006286383;0.128565543;0.121245607;0.531503703
1;0;4;0.519000608;0.02792333;0.115755931;0.077081947;0.452032748
1;0;5;0.608295973;-0.016645741;0.148542282;0.059474263;0.544066102
1;0;6;0.585844997;-0.038523674;0.153658643;0.01719555;0.536099943
1;0;7;0.599829823;-0.05303045;0.183692293;-0.069296572;0.535488052
1;0;8;0.580391421;-0.058672572;0.153641705;0.02602708;0.48965979
1;0;9;0.563520089;-0.040613534;0.16730634;-0.040489776;0.467579896
1;0;10;0.558728803;-0.0298056;0.15182652;0.013273949;0.502756117
1;0;11;0.547841648;-0.055335225;0.136271624;0.050902918;0.487516863
1;0;12;0.568149206;-0.064277284;0.13577331;0.073105569;0.503656107
1;0;13;0.559696906;-0.074644532;0.147797295;0.023820146;0.492949161
1;0;14;0.538308208;-0.096910016;0.173069129;-0.094239483;0.465266387
1;0;15;0.612056246;0.012196689;0.120997872;0.16232016;0.54516003
1;0;16;0.612454265;0.017474615;0.107453819;0.214769292;0.548081574
1;0;17;0.55559999;-0.022119917;0.117535642;0.116660517;0.487041049
1;0;18;0.561424822;-0.0194289;0.113491489;0.138131983;0.496229556
1;0;19;0.584606544;0.029577317;0.108149625;0.176985352;0.52565185
1;0;20;0.599027538;0.016609603;0.112526415;0.161268057;0.524341699
1;0;21;0.583062545;0.005672455;0.116478404;0.142497412;0.528440566
1;0;22;0.602566003;-0.016897606;0.118119741;0.155558837;0.551197328
1;0;23;0.603722919;-0.044133174;0.108158958;0.190754257;0.560232332
1;0;24;0.647815044;-0.035635738;0.10160699;0.260673207;0.596043922
1;0;25;0.626939327;0.063034347;0.091003821;0.292909791;0.563531734
1;0;26;0.541919181;-0.064979051;0.148636022;-0.013700726;0.484698997
1;0;27;0.492026599;0.057735234;0.070521571;0.223672091;0.452446624
1;0;28;0.602872851;0.052221446;0.098018093;0.226606047;0.566366888
1;0;29;0.601280767;0.012427151;0.092727917;0.245675935;0.573774755
1;0;30;0.533474661;-0.004873462;0.108414526;0.157660872;0.544922539
1;0;31;0.540828127;-0.06558167;0.199309231;-0.213507354;0.503441955
1;0;32;0.595389497;-0.090152364;0.107446463;0.14099314;0.519991781
1;0;33;0.614759186;0.020203392;0.101381769;0.220318144;0.570960438
1;0;34;0.559968294;-0.002012189;0.133867049;0.033659979;0.499845187
1;0;35;0.56122407;-0.032303126;0.134816704;0.032474932;0.514584896
1;0;36;0.58999892;-0.020669069;0.145982435;0.015386032;0.535288565
1;0;37;0.60583832;-0.049201625;0.129613901;0.091824127;0.55088702
1;0;38;0.650515259;-0.05713612;0.117619979;0.185871953;0.589191222
1;0;39;0.625019031;-0.129703306;0.173720883;-0.054898782;0.549326911
1;0;40;0.630128336;-0.088801654;0.136192434;0.103517548;0.55703015
1;0;41;0.655053563;-0.084173243;0.140713838;0.103995832;0.592002525
1;0;42;0.640343053;-0.072292419;0.141121193;0.087617283;0.561807107
1;0;43;0.612947464;-0.087498476;0.146176685;0.042723021;0.521443272
1;0;44;0.482661277;-0.101869721;0.174619643;0.02278446;0.59494995
1;0;45;0.582427957;-0.062668483;0.174641923;-0.117830498;0.479098716
1;0;46;0.742083865;-0.089380694;0.211792397;-0.117552766;0.608474942
1;0;47;1.203576454;-0.031261294;0.104831664;-0.05721399;0.316766308
1;1;0;0.623019373;0.063122754;0.060741471;0.390375807;0.543950753
1;1;1;0;0;0;0;0
1;1;2;-0.037661106;-0.000877463;-0.009006378;-0.002841935;-0.045850198
1;1;3;0;0;0;0;0
1;1;4;0.065532917;0.022150128;-0.010078614;0.101000911;0.064006999
1;1;5;0;0;0;0;0
1;1;6;0.037470712;-0.051965235;0.005297445;0.016447964;0.039961889
1;1;7;0;0;0;0;0
1;1;8;0.072148714;-0.032777011;0.010207052;0.041504459;0.016019027
1;1;9;0;0;0;0;0
1;1;10;-0.011238008;-0.047064968;0.020158015;-0.0848023;-0.015452912
1;1;11;0;0;0;0;0
1;1;12;-0.02562889;-0.06487086;0.035461874;-0.14889871;-0.034848746
1;1;13;0;0;0;0;0
1;1;14;0.0191826;-0.046118383;0.020787698;-0.05924843;0.02308472
1;1;15;0;0;0;0;0
1;1;16;0.009645167;-0.029387002;-0.010888929;0.049683139;0.008658645
1;1;17;0;0;0;0;0
1;1;18;-0.003409665;0.021661553;0.009039634;-0.037080497;-0.010775959
1;1;19;0;0;0;0;0
1;1;20;0.023583407;0.002043644;-0.003737976;0.036497092;0.02110569
1;1;21;0;0;0;0;0
1;1;22;0.066169955;-0.038500372;0.013323554;0.020495328;0.057087044
1;1;23;0;0;0;0;0
1;1;24;0.086419317;-0.116700144;0.033938574;-0.043193722;0.07292542
1;1;25;0;0;0;0;0
1;1;26;-0.025113955;-0.056003888;0.002086218;-0.032624906;-0.025920393
1;1;27;0;0;0;0;0
1;1;28;0.057846115;0.031773602;-0.011517373;0.105300783;0.065841994
1;1;29;0;0;0;0;0
1;1;30;0.005977173;-0.095084302;0.042397331;-0.156571258;0.011744083
1;1;31;0;0;0;0;0
1;1;32;0.058089274;-0.096968165;0.049139302;-0.133027457;0.047877265
1;1;33;0;0;0;0;0
1;1;34;0.006238001;0.031606504;0.007125833;-0.015801825;0.011482664
1;1;35;0;0;0;0;0
1;1;36;0.002027837;-0.034125785;0.019664865;-0.07652901;0.003380228
1;1;37;0;0;0;0;0
1;1;38;0.030379321;-0.057713116;0.022896864;-0.059322646;0.037053294
1;1;39;0;0;0;0;0
1;1;40;-0.00867957;-0.062474355;0.024643079;-0.098028484;-0.004600458
1;1;41;0;0;0;0;0
1;1;42;-0.037584962;-0.025575231;0.018295416;-0.114921589;-0.051243461
1;1;43;0;0;0;0;0
1;1;44;-0.015503652;-0.057685409;0.048658275;-0.164284534;0.024345362
1;1;45;0;0;0;0;0
1;1;46;0.214494494;-0.069501019;0.003132972;-0.14684212;-0.138548912
1;1;47;0.801449265;0;0;0;0
1;2;0;0.496345501;0.03934367;0.018205972;0.427546647;0.441202214
1;2;1;0.039116665;-0.010994078;-0.008886557;0.087147453;0.039246067
1;2;2;-0.093016752;-0.006401195;0.00341629;-0.08413307;-0.097000109
1;2;3;-0.018586475;0.008248976;-0.021846109;0.078929006;-0.006456529
1;2;4;-0.05359853;0.01768148;0.007203411;-0.066410505;-0.077773649
1;2;5;-0.023431597;-0.012685889;-0.009759202;0.018318034;-0.03886855
1;2;6;-0.031509267;-0.055571357;-0.011382236;0.011253562;-0.023659148
1;2;7;-0.031942136;-0.039534142;-0.000841034;-0.018712678;-0.021926702
1;2;8;-0.066392623;-0.047561835;-0.022190021;0.036944757;-0.032379495
1;2;9;-0.070112465;-0.05575258;-0.007023606;-0.029615833;-0.054756522
1;2;10;-0.016427308;-0.021065404;-0.004863051;0.019018001;-0.001177974
1;2;11;-0.037722859;-0.014588849;-0.005377621;-0.008915208;-0.029928695
1;2;12;-0.013152778;-0.023345237;0.008459124;-0.018949437;-0.010037226
1;2;13;-0.016286991;-0.033976689;0.001095973;0.00589165;-0.001408357
1;2;14;0.02243808;-0.036085441;0.001651405;0.037269812;0.00842709
1;2;15;-0.013213144;0.005681624;-0.004265614;0.005574022;-0.036192903
1;2;16;-0.042599518;-0.024427245;-0.00064682;-0.031306606;-0.043143573
1;2;17;-0.065305031;-0.019215825;-0.000771858;-0.051395379;-0.065933064
1;2;18;-0.052162332;0.021287283;-0.005522413;-0.022065578;-0.048032386
1;2;19;-0.053933171;-0.026226728;0.008990332;-0.077021054;-0.046456034
1;2;20;-0.012747196;-0.012765085;0.002432987;-0.011649611;-0.015677277
