Plate;Row;Column;Phenotypes.InitialValue;Phenotypes.ExperimentBaseLine;Phenotypes.ExperimentEndAverage;Phenotypes.ColonySize48h;Phenotypes.ChapmanRichardsParam2;Phenotypes.ChapmanRichardsParam3;Phenotypes.ChapmanRichardsParamXtra;Phenotypes.ChapmanRichardsParam1;Phenotypes.ChapmanRichardsParam4;Phenotypes.GenerationTimeStErrOfEstimate;Phenotypes.ExperimentGrowthYield;Phenotypes.GenerationTime;Phenotypes.ExperimentPopulationDoublings;Phenotypes.ChapmanRichardsFit;Phenotypes.GenerationTimeWhen
2;0;0;177035.0599;177745.4987;789973.5735;204035.6779;-8.644253471;-3.225207879;17.53888132;1.367342324;11.94075077;0.004964057;612228.0748;12.4144216;2.151991368;0.997737265;87.78422494
2;0;1;168333.5539;169102.0261;839310.3433;201419.2231;-0.245737073;-16.99096425;16.9415838;13.18865784;-25.27054291;0.004280753;670208.3171;14.50780108;2.311310414;0.740228994;87.78422494
2;0;2;155588.5644;156342.5574;642807.6015;182442.3038;-8.819874957;-3.246771354;17.37422343;1.335526125;12.08267629;0.004017812;486465.0441;12.56196129;2.039676448;0.996194824;87.78422494
2;0;3;160338.3251;161030.7776;709247.6921;191373.9925;-8.38576329;-3.282636798;17.41978336;1.36347513;11.47374323;0.00522711;548216.9145;13.77651113;2.138953096;0.996586391;87.78422494
2;0;4;149457.9306;150165.0678;557537;175248.5036;-8.493871491;-3.410333251;17.31898557;1.527202131;11.52341338;0.003991325;407371.9322;13.59179844;1.892518306;0.994573397;87.78422494
2;0;5;160258.8854;160784.872;642087.0068;190593.4122;-10.39721291;-3.362533417;17.42155498;1.427888047;13.39758356;0.004460767;481302.1348;13.89043942;1.997637133;0.995241466;87.78422494
2;0;6;153336.418;154271.5429;561954.3674;182862.9017;-8.003364727;-3.413147979;17.35897781;1.361282708;10.84312227;0.004568959;407682.8245;14.53442502;1.864981018;0.995617397;87.78422494
2;0;7;156348.6809;157047.5713;656606.1106;189102.6888;-8.369658309;-3.313203079;17.40237203;1.359066177;11.40985739;0.003788118;499558.5392;14.70601301;2.063826544;0.995575809;87.78422494
2;0;8;153324.9679;153914.8397;727101.2913;185999.9555;-0.704212704;-18.47566551;16.84406697;14.63263074;-24.5616613;0.004787301;573186.4516;14.22441679;2.240024022;0.737898313;87.78422494
2;0;9;148825.7283;149478.9383;757651.8772;185228.7209;0.342711381;-18.14585527;16.77977775;14.38086227;-25.86485596;0.003804708;608172.9389;14.98104286;2.341592895;0.77447494;87.78422494
2;0;10;145555.4802;146208.1024;617085.3996;176681.812;-10.0373146;-3.260393088;17.30677079;1.295903174;13.1685336;0.004663057;470877.2972;14.3667764;2.077446897;0.995382431;87.78422494
2;0;11;141118.8408;141852.0061;739723.1401;174165.2844;0.403531464;-16.8710985;16.69715636;13.10039177;-25.92366421;0.004132656;597871.1339;14.54041988;2.382598853;0.738612636;87.78422494
2;0;12;135154.1478;135794.1986;537132.9568;163815.3124;-9.937057813;-3.445016571;17.1974692;1.519562249;12.79822263;0.004358372;401338.7582;14.1892993;1.983857398;0.994065853;87.78422494
2;0;13;137493.8089;138049.4584;566557.0312;167355.3549;-8.70633612;-3.302356076;17.22537471;1.320448128;11.75288617;0.004002805;428507.5728;14.83537419;2.037035962;0.994671576;87.78422494
2;0;14;136108.1558;136825.5985;640310.454;167043.9398;-1.043212136;-19.06777473;16.69963952;15.19687088;-23.88395186;0.004289793;503484.8555;14.67479991;2.226433397;0.725531746;87.78422494
