Plate;Row;Column;Phenotypes.ExperimentGrowthYield;Phenotypes.GenerationTime;Phenotypes.ExperimentPopulationDoublings;Phenotypes.ExperimentBaseLine;Phenotypes.ColonySize48h
3;0;0;-0.658907715;0.418840451;-0.449737663;0.272260734;-0.055693939
3;0;1;-0.427899308;0.312147766;-0.325119441;0.262612915;-0.02917515
3;0;2;-0.583034451;0.384209502;-0.36290582;0.181707776;-0.100916936
3;0;3;-0.282466219;0.42159023;-0.291697726;0.321408014;0.124053956
3;0;4;-0.289236071;0.509007729;-0.27651365;0.284990192;0.113952015
3;0;5;-0.377643982;0.193283852;-0.268240141;0.207525015;-0.25553323
3;0;6;-0.76932893;0.343396991;-0.439970579;0.156480648;-0.412506263
3;0;7;-0.956048715;0.393963873;-0.459403275;0.034702972;-0.831557854
3;0;8;-0.350949349;0.150903044;-0.181262781;0.064482743;-0.479144386
3;0;9;-0.633960658;0.3262993;-0.26812133;0.010419338;-0.901269013
3;0;10;-0.846588151;0.304567359;-0.327177413;-0.071054994;-1.157305299
3;0;11;-0.707806257;0.355343225;-0.28857289;-0.014876537;-0.996516212
3;0;12;-0.79656781;0.338212195;-0.304269338;-0.068632124;-1.084574611
3;0;13;-0.931766979;0.482412288;-0.386229688;0.024452035;-1.218700805
3;0;14;-0.992904504;0.324689519;-0.343991909;-0.132616365;-1.51001703
3;0;15;-0.052988595;0.230393007;-0.083728911;0.14307997;-0.030716979
3;0;16;-0.012010367;0.169767035;-0.05281098;0.112574409;-0.071910349
3;0;17;-0.481423196;0.179902702;-0.158188096;-0.085780056;-0.717014193
3;0;18;-0.725597502;0.153644455;-0.230748968;-0.15862843;-1.050862155
3;0;19;-0.653875766;0.126809315;-0.231075919;-0.086195811;-0.722287022
3;0;20;-0.868759346;0.212158087;-0.300153445;-0.143440871;-0.863000116
3;0;21;-0.760029362;0.225329668;-0.24509935;-0.149614131;-0.81626609
3;0;22;-0.14515537;0.153736393;0.001502727;-0.149139777;-0.145749605
3;0;23;-0.158038611;0.14158154;-0.006551967;-0.140834797;-0.113062926
3;0;24;-0.464076034;0.058310243;-0.162511325;-0.05404741;-0.5747933
3;0;25;-0.389221345;0.146481347;-0.139132746;-0.025663736;-0.451570422
3;0;26;-0.539921601;0.122044516;-0.189192374;-0.051810063;-0.57812445
3;0;27;-0.576323127;0.084206673;-0.191595322;-0.075759911;-0.591607882
3;0;28;-0.635485747;0.050430372;-0.2111585;-0.086540958;-0.65438496
3;0;29;-0.545854066;0.157319574;-0.201889884;-0.014831619;-0.596502055
3;0;30;-0.334775162;0.063570645;-0.110347588;-0.037569978;-0.513893471
3;0;31;-0.47057306;0.164330062;-0.182044168;0.032680585;-0.677545506
3;0;32;-0.440531255;0.230562811;-0.209573845;0.154834535;-0.571616808
3;0;33;-0.419006309;0.159075438;-0.215178729;0.191366499;-0.570263859
3;0;34;-0.39881222;0.11434404;-0.179780635;0.116023829;-0.539749628
3;0;35;-0.320679955;0.11934249;-0.138794191;0.087105239;-0.666800847
3;0;36;-0.391454791;0.123640607;-0.149760177;0.047222568;-0.703866281
3;0;37;-0.41556122;0.163339282;-0.156585782;0.048442424;-0.78382051
3;0;38;-0.395126338;0.168900591;-0.168733993;0.103202791;-0.758140553
3;0;39;-0.468593567;0.174657244;-0.178507211;0.067633906;-0.849107106
3;0;40;0.111121687;-0.138698328;0.012343763;0.07196605;-0.317837522
3;0;41;0.051181319;-0.16765011;0.023569265;-0.02422775;-0.491289273
3;0;42;-0.591429581;0.203537766;-0.173826834;-0.065884872;-1.162982104
3;0;43;-0.543883458;0.060373188;-0.140154181;-0.115034912;-1.164252905
3;0;44;-0.532294415;0.065072235;-0.146186788;-0.08574612;-1.243295226
3;0;45;-0.383343436;0.129611848;-0.11597065;-0.022211057;-0.991267187
3;0;46;-0.289229772;0.081937089;-0.061152464;-0.095775676;-0.990684695
3;0;47;-0.287689078;-0.007857802;-0.070772695;-0.060564557;-0.768189701
3;1;0;0.211954764;0.331756297;-0.162014975;0.568361459;0.488565413
3;1;1;0;0;0;0;0
3;1;2;-0.058592305;0.112493483;-0.067044643;0.091376925;0.075835106
3;1;3;0;0;0;0;0
3;1;4;-0.033139684;0.103907038;-0.080513203;0.159029008;0.036039071
3;1;5;0;0;0;0;0
3;1;6;-0.54787329;0.33228185;-0.259814295;0.015098998;-0.363140844
3;1;7;0;0;0;0;0
3;1;8;-0.624189737;0.166446508;-0.241893164;-0.045220717;-0.673083438
3;1;9;0;0;0;0;0
3;1;10;-0.865474701;0.256887492;-0.278318854;-0.199423301;-1.053059441
3;1;11;0;0;0;0;0
3;1;12;-1.002173399;0.357552808;-0.323328206;-0.215376812;-1.167742053
3;1;13;0;0;0;0;0
3;1;14;-0.587403646;0.196702994;-0.182552272;-0.063802919;-0.783950991
3;1;15;0;0;0;0;0
3;1;16;-0.259650655;0.031824354;-0.101093752;-0.000340975;-0.348794591
3;1;17;0;0;0;0;0
3;1;18;-0.861852255;0.169524356;-0.312641045;-0.111625168;-0.951145713
3;1;19;0;0;0;0;0
3;1;20;-0.857549597;0.238796901;-0.31790998;-0.084517157;-0.741784674
3;1;21;0;0;0;0;0
3;1;22;-0.273125722;0.123086806;-0.026580676;-0.201057676;-0.157620283
3;1;23;0;0;0;0;0
3;1;24;-0.737330555;0.046680496;-0.300311661;0.000829151;-0.545641927
3;1;25;0;0;0;0;0
3;1;26;-0.702811621;0.135315552;-0.248578317;-0.062891938;-0.588205533
3;1;27;0;0;0;0;0
3;1;28;-0.847657667;0.100292914;-0.314552352;-0.050372418;-0.654358125
3;1;29;0;0;0;0;0
3;1;30;-0.585337733;0.162575624;-0.236542153;0.046183826;-0.605963585
3;1;31;0;0;0;0;0
3;1;32;-0.70479151;0.142446104;-0.261118542;0.015289463;-0.750516653
3;1;33;0;0;0;0;0
3;1;34;-0.770365537;0.128735359;-0.272033621;-0.003355639;-0.892217943
3;1;35;0;0;0;0;0
3;1;36;-0.607413247;0.117980146;-0.187590947;-0.062140664;-0.879348329
3;1;37;0;0;0;0;0
3;1;38;-0.642567646;0.087814103;-0.212239023;-0.014087227;-0.96705346
3;1;39;0;0;0;0;0
3;1;40;-0.209859433;-0.04360784;-0.103447788;0.107033972;-0.564462399
3;1;41;0;0;0;0;0
3;1;42;-0.913842611;0.183618251;-0.298170019;-0.040987608;-1.294479214
3;1;43;0;0;0;0;0
3;1;44;-0.653035237;0.13539448;-0.222464832;0.014157876;-1.043577104
3;1;45;0;0;0;0;0
3;1;46;-0.545524346;0.15572493;-0.232195651;0.159627573;-0.816520438
3;1;47;0;0;0;0;0
3;2;0;-0.680715406;0.903299062;-0.565173105;0.46335026;0.318580682
3;2;1;-1.24340673;0.804473768;-0.637574831;0.084949657;-0.261346151
3;2;2;-0.407267068;0.136989695;-0.124734126;-0.111498999;-0.293314768
3;2;3;-0.312671646;0.119380992;-0.123876851;-0.029780722;-0.191446718
3;2;4;-1.068355002;0.384108582;-0.416236364;-0.203760831;-0.630065441
3;2;5;-0.872536893;0.295988966;-0.353496012;-0.122379287;-0.594821201
3;2;6;-1.933001552;1.224514445;-0.931485733;-0.139271288;-0.786530303
3;2;7;-2.352494308;1.550994146;-1.14129106;-0.174669516;-1.092138258
3;2;8;-0.380748318;0.104404097;-0.125072026;-0.075763157;-0.466961613
3;2;9;-0.694865089;0.219229319;-0.217221264;-0.167977299;-0.80809586
3;2;10;-0.733798712;0.318677811;-0.255223578;-0.123690211;-0.82899326
3;2;11;-0.71326415;0.306808206;-0.227413999;-0.163790483;-0.7624644
3;2;12;-0.995752999;0.630719518;-0.44370934;0.024151711;-0.806640844
3;2;13;-0.756705443;0.287957842;-0.252236991;-0.114733866;-0.792881098
3;2;14;-0.187533311;0.13227383;-0.087406357;0.031797839;-0.219040316
3;2;15;-0.326724569;0.059695236;-0.119288049;-0.04313004;-0.4708954
