Plate,Row,Column,Phenotypes.InitialValue,Phenotypes.ExperimentBaseLine,Phenotypes.ExperimentEndAverage,Phenotypes.ColonySize48h,Phenotypes.ChapmanRichardsParam2,Phenotypes.ChapmanRichardsParam3,Phenotypes.ChapmanRichardsParamXtra,Phenotypes.ChapmanRichardsParam1,Phenotypes.ChapmanRichardsParam4,Phenotypes.GenerationTimeStErrOfEstimate,Phenotypes.ExperimentGrowthYield,Phenotypes.GenerationTime,Phenotypes.ExperimentPopulationDoublings,Phenotypes.ChapmanRichardsFit,Phenotypes.GenerationTimeWhen
3,0,0,141604.5615853279,142497.75303768701,1420773.7744259648,242501.36362840352,-9.7790825053628208,-3.1182202575327667,17.325258723719177,1.3605667349948849,12.445936420824451,0.00033904603488017933,1278276.0213882779,14.081858666373554,3.3176657812659265,0.99826099464495477,54.674964333333335
3,0,1,126628.33271941201,127499.57611944219,1370846.501553457,225973.85188629106,-10.608162624586992,-3.0637499429448898,17.169490815521296,1.3561595042796766,13.344119711660305,0.0004793792042066995,1243346.9254340148,12.830167155047901,3.42650268071149,0.99814825793204409,58.67234227777778
3,0,2,112848.62086712543,113519.64162718809,1144929.0218283525,187292.22030484906,-8.3431089712358713,-3.0966112468725915,17.008453462231916,1.3655556183515503,11.110629798553493,0.00042289933394995321,1031409.3802011644,12.902996634088881,3.3342443182080963,0.99754370878903853,59.67421788888889
3,0,3,112347.46992395876,113103.96299221336,1245874.4578431156,204882.5124945647,26.924998042692909,-3.1112992297956996,17.009630992505731,1.3733311847921363,2.5443431117319064,0.00069732856575238785,1132770.4948509021,12.197407890297738,3.4614373154639679,0.9976218836084102,57.341382361111108
3,0,4,106347.63487066244,106951.72680358849,1076129.2543594306,183330.07332315727,26.213463948195482,-3.0818369222853841,16.916509406949412,1.3309078704099695,2.6614551898068166,0.00051180584895951222,969177.52755584219,12.863447878633984,3.330819690007857,0.99767642693265068,55.007579916666664
3,0,5,122737.27065472615,123508.45706924544,1593517.6589655839,303175.19143986877,-8.7392387626745887,-3.009340613392836,17.113938944910814,1.3613993912550604,11.239769357131438,0.00088854103424454856,1470009.2018963385,11.753064033155452,3.6895332699567014,0.99865071673742478,50.005797027777774
3,0,6,112181.56028923515,112666.68164612578,1351949.3961220456,232577.41075457371,-8.5702419259627174,-2.9975655117788329,16.976073826054712,1.3498331700995523,11.262095719182232,0.00047899560242857135,1239282.7144759197,11.902686581388613,3.5849083094049199,0.99835131439108737,52.674465499999997
3,0,7,118193.2394576715,118747.75853221315,1496068.7438188896,268046.78108602861,-11.198285626722676,-2.9837819980812146,17.054471082884866,1.3532919213829135,13.838443868172449,0.0010862336734227156,1377320.9852866766,11.614111762529836,3.6552042813824208,0.99845225538441951,53.007531388888893
3,0,8,116602.40742499255,117222.75371917481,1417351.3352324928,252749.08974647438,-11.149883301509361,-2.980845903746661,17.04225443502099,1.3363267326266965,13.835265441631883,0.00039713239913231652,1300128.581513318,11.846163552865848,3.5958728812610339,0.99828820925602968,52.674465499999997
3,0,9,111630.10797169922,112192.90197806845,1486821.7383812207,255814.29950855341,-9.8952684028395357,-2.9711598175800602,16.981067668404012,1.3677127291590976,12.575951192976627,0.0011835729503674914,1374628.8364031522,11.56149030966456,3.7281783766139824,0.99844366717226785,52.674465499999997
3,0,10,109233.42616407023,109856.78381106684,1234700.3487578465,225309.96921407394,-9.7142769023100204,-3.0464345229927141,16.954913603710668,1.3362443117458276,12.292438539012821,0.00092388635413725637,1124843.5649467797,12.579625751840839,3.4904650884356379,0.99806819983040762,54.674964333333335
3,0,11,102603.81724566536,103118.73574780952,1121589.2310070514,198685.9168005528,-8.6801965165095893,-3.0459898364779718,16.859713199168727,1.3340943390987283,11.327092865075864,0.00054454817081870039,1018470.4952592419,12.260148179601838,3.4431660160604913,0.99802551574737919,54.674964333333335
3,0,12,101941.36011127938,102426.82659342355,1289288.0267966024,196379.41532085129,-9.9971622457023734,-2.9657364432313602,16.843657857766434,1.3725246540204563,12.874967390723363,0.00072456851176642197,1186861.2002031789,11.057693689071534,3.6539090716476395,0.99825142279943491,55.007579916666664
3,0,13,110617.26988565846,111121.39888577501,1683296.670135658,264202.32837632176,-8.4243997274470726,-2.9122584732991728,16.954563054591794,1.4050746093009927,11.230971767413379,0.0002250506990713238,1572175.2712498829,10.281335378004055,3.9210808932662466,0.99855714444823829,52.674465499999997
3,0,14,99842.14985902785,100391.57492510125,868217.64509501215,172843.84135548334,-9.7344098719768564,-3.234375754324355,16.792672010503058,1.3612609669575444,12.106980942774751,0.00044868835326948483,767826.0701699109,14.203824586961968,3.1124185429649103,0.99770140252504902,59.34204866666667
3,0,15,100634.35006360908,101095.01937508098,940649.50554675295,180747.75766317997,-9.0638270960780591,-3.2292424270127484,16.803180712043037,1.3848395249132868,11.413866121743364,0.00034510270752619769,839554.486171672,14.304518401219225,3.2179453398815703,0.99794221807675443,59.67421788888889
3,0,16,100763.3153214505,101160.26925907422,1629810.2731998693,235427.37326086743,-8.7612990013131462,-2.9076271342656099,16.812313209248117,1.4340596310882456,11.622697983812213,0.00061129698654130101,1528650.0039407951,10.180511768060361,4.0099893423180788,0.99872525852896865,52.674465499999997
3,0,17,97868.419534020606,98334.846765385664,1627773.345634212,247058.68140687558,-9.8773540807719922,-2.9092352974606248,16.77263050508553,1.4364022558836955,12.673071625572508,0.0018987131947821654,1529438.4988688263,10.231690465663299,4.0490532669147754,0.99881665546786269,48.008488638888892
3,0,18,95914.01800658209,96370.62854667574,1655216.8496423922,228212.32737845642,-8.5729492946407788,-2.8751612809999321,16.770583940560076,1.4404865274164798,11.52806290649032,0.00081583518830523609,1558846.2210957166,9.4021384755742137,4.1022829117470927,0.99843795205818087,52.674465499999997
3,0,19,102082.4119937229,102702.89900493603,2027055.1494038664,300284.82511882449,-9.1496803309124459,-2.8810808401999743,16.870496997711406,1.4762850592741772,11.937009711444201,0.0015801279730417726,1924352.2503989304,9.4637348356436437,4.3028365298150142,0.99871128071434656,50.341648111111112
3,0,20,95651.990097338261,96170.139732208525,993595.61751173344,169636.79241183578,-10.603887949740422,-3.1086578381934951,16.768746704711315,1.3671651658396045,13.252191555506055,0.00046276507136793599,897425.47777952487,12.802374882775156,3.3689978899892132,0.99777830232940556,59.34204866666667
3,0,21,95321.017209415528,95890.173212478912,1020511.929994919,166330.77772286019,-10.258340478465243,-3.143221490443731,16.770531450266343,1.4142675013819104,12.894752783051368,0.00026724052950737498,924621.75678244012,12.65183896412861,3.411766261652609,0.99738960544460642,59.008874916666663
3,0,22,94419.002453753172,94878.92571347901,1538643.1359709557,210824.84251644969,-8.7199407802662421,-2.9551232449465044,16.745882112861931,1.454053916561745,11.528328119034645,0.0007219261587533642,1443764.2102574767,10.577768687557334,4.0194271750988477,0.99856560925337334,54.007742166666667
3,0,23,97959.375743003882,98583.515452360094,1701461.8604382062,249084.32667091113,-8.858965518931976,-2.9412660612553876,16.795535457557314,1.4607409448502437,11.589604819960106,0.00034555491537985534,1602878.3449858462,10.473443353823427,4.1092845744257112,0.99884906263565443,52.008538250000001
3,0,24,104490.13845506773,104532.31370584719,1886635.4529928465,272812.27134306845,-8.3491416492078816,-2.8570903717446186,16.832298404886981,1.4592899053483697,11.265991538783185,0.0022489777309852915,1782103.1392869994,8.7549129240059003,4.1737947920872749,0.99884914088622334,47.341045611111113
3,0,25,99949.170192932652,100455.72305158862,2272146.5528932679,340439.24467293697,-9.4290451696168667,-2.8567488157917404,16.810446170876592,1.5166281686948775,12.195058979584195,0.0013975605709123829,2171690.8298416794,8.7482873226445932,4.4994242281781247,0.99899887421353084,45.007494749999999
3,0,26,98522.553154912195,99074.885466182663,2120259.5905514876,304962.46165265737,-8.8214942824595433,-2.836729657959336,16.782141979236666,1.500050707634158,11.705914833367498,0.0018354903963888169,2021184.705085305,8.7158306225715219,4.4195777050180354,0.99902472100306827,47.673959972222221
3,0,27,97214.118434563439,97638.980269467691,2102113.344300169,313907.76459361013,-9.2503748895505211,-2.8645965626280878,16.752512163939336,1.5070143045827407,12.023756681380831,0.00070893616634469525,2004474.3640307013,9.1241293286020895,4.4282394223023758,0.99910364802671481,47.673959972222221
3,0,28,100675.98758937095,101200.38150125295,2338427.7040004754,380411.6751175042,-7.2090494207345754,-2.8488075918290581,16.802484282550751,1.5191842709060024,9.9140250090123807,0.0017679431916401414,2237227.3224992226,8.518482105112712,4.5302521925948191,0.9991190605830309,45.007494749999999
3,0,29,99937.154802383739,100373.95574093451,2355911.4043103252,391670.98022016906,-8.3126800953112223,-2.8475496474368844,16.789004794450655,1.522243728763337,10.993598154597965,0.0012498729626469274,2255537.4485693905,8.3753986110357648,4.5528284030484976,0.9991272752959095,45.007494749999999
3,0,30,102757.01764143826,103353.90862510483,2436163.6106004189,430734.35557723558,-6.3702696807620338,-2.8587340246161128,16.823985659437966,1.5225618996079511,8.960274859992305,0.0016300667455843949,2332809.7019753139,8.6038438089726359,4.5589461720578939,0.99912325722339757,45.007494749999999
3,0,31,100386.8384773187,100828.84571846189,2434937.6250008806,404757.34598426684,-6.7440263545943289,-2.8433709045506332,16.778828681898553,1.5335169585145416,9.4156306508619139,0.0013820900628025189,2334108.7792824185,8.4982768113808955,4.5939044779194624,0.99917277967820683,45.007494749999999
3,0,32,102954.28481634891,103514.9144488977,2716617.9913571477,538875.61952035571,2.1573937583282152,-2.8978521388572784,16.822168081398125,1.5556865500242418,2.3870374819162961,0.0013359556977119249,2613103.0769082499,8.6101510195585753,4.7139011576091185,0.99919193823117258,42.34160822222222
3,0,33,102228.87509868731,102708.23988736467,2747025.534823989,589512.7399389873,15.94853260961051,-2.9183652314684707,16.808357533413655,1.5611214999066783,2.1268551650597156,0.00072364332624541214,2644317.2949366244,8.4724713650278716,4.7412464876776745,0.9992304439543378,38.673768416666668
3,0,34,97032.19024592152,97599.998686821156,2528546.857878603,495624.06477291865,18.31727154835097,-2.8664887764228597,16.729318485419906,1.5501774402386437,2.3810657947080927,0.0017664700383983811,2430946.8591917818,8.3801808154552546,4.6952835754778626,0.99928121925597313,41.340354722222223
3,0,35,100096.89559408485,100628.6484128321,2753614.581086807,590214.60307349893,16.140859008601101,-2.8679965790530946,16.778785175291642,1.561260572452561,2.2601818501960143,0.0015178175551434523,2652985.9326739749,8.2255871825661995,4.7742136460124804,0.99929263659294576,38.005096972222219
3,0,36,102227.72570211947,102641.84308498337,3020849.9063623552,729441.74235937721,16.462224308900822,-2.8707293742428885,16.773551534851542,1.5839363557933079,2.077517624797363,0.0004674308380314343,2918208.0632773717,7.970541184996625,4.8792636176562354,0.99936855356466681,38.005096972222219
3,0,37,99560.729635500349,100046.10794119774,2997645.6739388169,745879.90675398195,19.44646853454325,-2.8670030312860044,16.711966260395805,1.5927257289257537,2.036077815364187,0.001541677847064375,2897599.5659976192,7.6296082032297345,4.9050929159329968,0.99939642662731054,34.341079527777779
3,0,38,104114.07428067703,104485.21494359295,3067323.5365732126,781788.2413460036,16.228624491980394,-2.8449986673828604,16.765872916844408,1.5851186612476647,2.0819308446894675,0.0020033063204331477,2962838.3216296197,7.5974059414514166,4.8756096328763014,0.99932088776901817,36.675915722222221
3,0,39,100665.65377044356,101072.55079251989,3169431.9004870262,822769.21320487279,19.400637641221376,-2.8305856377127965,16.725790980879896,1.5990456302532821,2.0757858803208502,0.0011356341384994495,3068359.3496945063,7.4373027517503623,4.970761120570252,0.99924017723018155,38.005096972222219
3,0,40,99200.589655349249,99594.643478956947,3189940.3135582372,838472.28794192558,16.620111399789089,-2.8362205905044733,16.74299450423301,1.5987802367003061,2.048280861529665,0.0016439508850755625,3090345.6700792802,7.3743872682244209,5.0013174684018615,0.99927171751007826,35.008408305555555
3,0,41,106646.69068131459,107250.34036348246,3581290.0311316592,1025380.3614507474,18.147379206509598,-2.8375206278068759,16.847067341915167,1.6073098126567809,1.9176631568313851,0.0027293867145983417,3474039.6907681767,7.3988703669976736,5.061425228893679,0.99927145599408618,32.00791102777778
3,0,42,101702.94889405828,102175.16482749407,3719810.7093018829,1051643.5006257372,24.485424986489079,-2.8104348067069247,16.753993835334821,1.632429886204479,1.9718250964763968,0.0014852201499119459,3617635.5444743889,6.9705921896156475,5.1861127327030019,0.99919504330167308,34.009067333333334
3,0,43,105617.02317871677,106118.26240143453,4071712.3032273538,1188997.7795386664,18.002360434732424,-2.820217665598117,16.809495479409318,1.6469506610170921,1.8684458467546825,0.0023637227851117295,3965594.0408259192,6.7081358932544619,5.2618907648246172,0.9991995863057318,32.00791102777778
3,0,44,108746.8122684445,109271.92361253143,4220981.7961071776,1211675.7218257366,22.962059008001688,-2.836619621393019,16.832135905765703,1.6529608666268349,1.8210727961728461,0.0016755450598798065,4111709.8724946463,6.9084580482008988,5.2715839404877443,0.99920500626561048,32.00791102777778
3,0,45,111303.98306632919,111758.80214657095,4729044.2281991234,1340533.2230843971,18.617784575450134,-2.8443605890754826,16.84643342390164,1.681127443840388,1.7645989555151627,0.002549127783691334,4617285.4260525526,6.6656378621443491,5.4030882666486413,0.99909557573719654,32.671943916666663
3,0,46,101404.24534307687,101901.34025168953,5236017.4084114321,1367047.9415389239,17.925177160627321,-2.8101192516835942,16.713617424878564,1.7275683882906494,1.8891493547367717,0.0017112070086591005,5134116.0681597423,6.1055466699246015,5.6832249621740054,0.99894280468162666,32.00791102777778
3,0,47,91786.325057457245,92232.208128852377,6029297.8529933328,1352968.0413312519,19.097034754934867,-2.822273381311633,16.553365534848258,1.7916708587901822,1.9167088089131687,0.0014797286897550166,5937065.64486448,5.8148606953144579,6.0305755536177905,0.99879756615562254,33.674766472222224
3,1,0,152667.22455873704,153645.36781402948,1647955.4340945038,334775.17226197897,-11.535837957218138,-3.1247145318689102,17.420040049750522,1.3378103088174005,13.866858642258443,0.001188157997184019,1494310.0662804742,14.220705836911804,3.423001050503732,0.99869075258402384,52.674465499999997
3,1,1,112734.51386623108,113091.6151112768,1837140.5594401394,360307.47839103465,-10.969136437439399,-2.9937949073250039,16.950041824156134,1.4345333528230113,13.308811303764264,0.0018710826120461289,1724048.9443288627,10.911644536483806,4.0218981376556755,0.99905824700620904,45.34044902777778
3,1,2,102350.24483644954,102790.52377794648,875219.82586036797,163502.4266938245,-10.353772246366255,-3.0848308944647491,16.837360337975195,1.2879126878685379,13.147205105060049,0.00046950450535134111,772429.30208242149,13.932457763240158,3.0899381499402843,0.99787670405381523,59.34204866666667
3,1,3,110114.1311102388,110354.47313853809,2309900.3081148476,579968.67110158154,-8.3898118463464275,-2.9475212158919222,16.867925392384304,1.4925981760405933,10.415790893200274,0.0016247851400603139,2199545.8349763094,10.213231997158237,4.3876135738854671,0.99936227676928957,42.34160822222222
3,1,4,95064.306049365114,95602.214123401398,1007518.7178094514,181189.77390574513,-8.7703731146867554,-2.9862349327738684,16.749216495985902,1.2973868273781179,11.569498250468479,0.00053987112380428511,911916.50368604995,12.424375137276158,3.3976188002970922,0.99823370472054196,55.007579916666664
3,1,5,105892.88547898915,106286.69169427401,2138137.5257852059,548270.71596547659,-9.4613074170819633,-2.9197480848671793,16.849076560243436,1.4666903623355814,11.572853819748895,0.0012410119638254326,2031850.8340909318,10.098195628235468,4.3303217792932642,0.999190451843881,42.674415055555556
